epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.3908,2.41413,4.6476,2.10733,0.08991,0.07038,0.02506,0.00852,2.77432,13.3141,2.50284,0.000649573,0.000649573,0.000649573
2,40.6882,2.6039,3.27931,2.21669,0.10364,0.06452,0.02972,0.00684,3.23887,4.54123,3.37304,0.00129018,0.00129018,0.00129018
3,59.7993,2.54123,3.26409,2.31156,0.01943,0.01466,0.00143,0.00038,3.65489,6.55519,3.92897,0.00190438,0.00190438,0.00190438
4,80.0271,2.56198,3.20509,2.3017,0.02773,0.02053,0.00314,0.0011,3.95729,5.91192,4.04611,0.0018812,0.0018812,0.0018812
5,99.9936,2.53724,3.06459,2.30651,0.03092,0.04692,0.01323,0.00375,3.07981,4.64913,2.96561,0.0018416,0.0018416,0.0018416
6,117.133,2.5111,3.08361,2.3009,0.06339,0.02933,0.00685,0.00158,3.19956,7.36509,3.19602,0.001802,0.001802,0.001802
7,132.502,2.52011,3.05939,2.28008,0.04883,0.07625,0.0193,0.00522,2.93772,3.95818,2.73374,0.0017624,0.0017624,0.0017624
8,150.796,2.41156,2.99177,2.21612,0.15545,0.09091,0.03986,0.01243,2.85641,3.60298,2.57407,0.0017228,0.0017228,0.0017228
9,166.475,2.42493,2.96247,2.17854,0.10272,0.11437,0.04083,0.01512,2.78264,3.93637,2.53508,0.0016832,0.0016832,0.0016832
10,182.072,2.36485,2.85131,2.1204,0.21106,0.09677,0.07272,0.02191,2.76904,3.17788,2.46838,0.0016436,0.0016436,0.0016436
11,197.589,2.28721,2.72279,2.06914,0.1313,0.08798,0.03945,0.01235,2.75826,3.42091,2.59452,0.001604,0.001604,0.001604
12,213.147,2.28675,2.7285,2.06833,0.16807,0.1173,0.0583,0.01869,2.69085,3.37958,2.50229,0.0015644,0.0015644,0.0015644
13,228.629,2.25551,2.66223,2.0658,0.19983,0.16716,0.10465,0.03511,2.49531,3.14932,2.31199,0.0015248,0.0015248,0.0015248
14,244.256,2.2161,2.62427,2.02587,0.28385,0.19411,0.15378,0.04966,2.56138,2.82944,2.30962,0.0014852,0.0014852,0.0014852
15,260.069,2.22277,2.59869,2.03469,0.13794,0.1173,0.04665,0.01439,2.607,3.29474,2.40502,0.0014456,0.0014456,0.0014456
16,275.863,2.15907,2.53425,1.98351,0.27292,0.22874,0.1394,0.04383,2.45581,2.7882,2.28578,0.001406,0.001406,0.001406
17,295.159,2.12583,2.45544,1.97363,0.26518,0.20821,0.14559,0.04816,2.4872,2.706,2.28078,0.0013664,0.0013664,0.0013664
18,310.485,2.11555,2.39567,1.95689,0.2589,0.20821,0.14903,0.05248,2.42671,2.73474,2.21983,0.0013268,0.0013268,0.0013268
19,326.089,2.04911,2.41178,1.93678,0.30439,0.18768,0.16807,0.05415,2.45834,2.70341,2.25575,0.0012872,0.0012872,0.0012872
20,342.04,2.06196,2.33633,1.91184,0.30472,0.26979,0.19192,0.06115,2.45868,2.66596,2.2314,0.0012476,0.0012476,0.0012476
21,357.686,2.08246,2.35453,1.90039,0.30164,0.2346,0.16334,0.05338,2.45305,2.62411,2.21908,0.001208,0.001208,0.001208
22,373.052,1.97913,2.22173,1.81796,0.21275,0.23167,0.14079,0.04546,2.46106,2.80318,2.28483,0.0011684,0.0011684,0.0011684
23,388.737,1.99291,2.25978,1.87425,0.2479,0.24633,0.17049,0.06344,2.43067,2.59476,2.27164,0.0011288,0.0011288,0.0011288
24,404.432,2.00185,2.18193,1.85082,0.33385,0.2346,0.18403,0.05951,2.53566,2.64206,2.38853,0.0010892,0.0010892,0.0010892
25,420.043,2.03959,2.27227,1.90361,0.29989,0.2346,0.17504,0.05325,2.53477,2.62664,2.36049,0.0010496,0.0010496,0.0010496
26,437.942,1.93835,2.16753,1.82695,0.3458,0.27273,0.22138,0.06694,2.43556,2.48684,2.23736,0.00101,0.00101,0.00101
27,453.478,1.88583,2.05258,1.77861,0.29067,0.28152,0.19392,0.06321,2.48524,2.6984,2.24596,0.0009704,0.0009704,0.0009704
28,470.952,1.95305,2.07953,1.79051,0.3099,0.24927,0.18519,0.06141,2.44446,2.60232,2.18688,0.0009308,0.0009308,0.0009308
29,486.467,1.89602,2.0448,1.76263,0.385,0.31085,0.24458,0.08539,2.48365,2.47313,2.30516,0.0008912,0.0008912,0.0008912
30,502.248,1.90115,2.00019,1.76317,0.28921,0.3162,0.20993,0.06546,2.4732,2.61669,2.30165,0.0008516,0.0008516,0.0008516
31,517.876,1.89352,1.97454,1.76257,0.32953,0.27566,0.219,0.07343,2.46023,2.50194,2.28887,0.000812,0.000812,0.000812
32,535.314,1.86263,1.93552,1.74314,0.35552,0.25806,0.19943,0.07052,2.46585,2.6275,2.30716,0.0007724,0.0007724,0.0007724
33,551.052,1.82913,1.86294,1.70631,0.29913,0.31965,0.2061,0.0738,2.47601,2.5277,2.28601,0.0007328,0.0007328,0.0007328
34,566.519,1.82964,1.80037,1.70648,0.38226,0.33431,0.25606,0.0885,2.49407,2.51632,2.27413,0.0006932,0.0006932,0.0006932
35,584.086,1.7765,1.78257,1.69138,0.31442,0.34311,0.22532,0.07168,2.46393,2.4703,2.27073,0.0006536,0.0006536,0.0006536
36,599.716,1.73883,1.74694,1.65668,0.38448,0.29912,0.25593,0.0854,2.46021,2.47805,2.28427,0.000614,0.000614,0.000614
37,615.477,1.70492,1.72726,1.64299,0.40777,0.29619,0.23792,0.08283,2.46882,2.49524,2.32385,0.0005744,0.0005744,0.0005744
38,630.8,1.71855,1.70959,1.64635,0.39647,0.32258,0.26561,0.08662,2.49845,2.43266,2.33734,0.0005348,0.0005348,0.0005348
39,646.304,1.71299,1.70007,1.65274,0.46657,0.28739,0.25152,0.08313,2.47761,2.46953,2.32669,0.0004952,0.0004952,0.0004952
40,663.324,1.71497,1.63742,1.62579,0.38782,0.29326,0.25259,0.0862,2.55697,2.51192,2.37015,0.0004556,0.0004556,0.0004556
41,712.401,1.75919,1.71339,1.6888,0.43891,0.30499,0.2668,0.09484,2.44456,2.41214,2.27729,0.000416,0.000416,0.000416
42,732.1,1.68929,1.61283,1.6574,0.46994,0.28859,0.26512,0.08752,2.55966,2.48166,2.38902,0.0003764,0.0003764,0.0003764
43,749.509,1.64889,1.54848,1.64002,0.40419,0.30792,0.26145,0.0921,2.50622,2.47998,2.34245,0.0003368,0.0003368,0.0003368
44,764.885,1.60232,1.50037,1.60773,0.37545,0.29326,0.22291,0.07915,2.54187,2.44049,2.35896,0.0002972,0.0002972,0.0002972
45,779.959,1.59237,1.43748,1.58053,0.40805,0.30792,0.23774,0.08586,2.49237,2.47652,2.31874,0.0002576,0.0002576,0.0002576
46,795.057,1.57608,1.42417,1.57006,0.38881,0.32845,0.24985,0.08897,2.49176,2.45665,2.33558,0.000218,0.000218,0.000218
47,810.335,1.5417,1.3669,1.56048,0.39341,0.31965,0.23395,0.08051,2.52585,2.48577,2.40454,0.0001784,0.0001784,0.0001784
48,825.905,1.55671,1.36785,1.54758,0.3913,0.3186,0.26233,0.09154,2.48776,2.51075,2.365,0.0001388,0.0001388,0.0001388
49,841.215,1.50211,1.28946,1.5155,0.41533,0.31457,0.26738,0.09466,2.49338,2.4718,2.36482,9.92e-05,9.92e-05,9.92e-05
50,856.533,1.47676,1.30852,1.5092,0.41663,0.31378,0.26877,0.09439,2.5088,2.47923,2.37709,5.96e-05,5.96e-05,5.96e-05
